date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:53	175539/175539	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.svg	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.svg	(from http://iglyphic.com/themes/html/html_safest/css/icon/et-line-font.css)
18:36:54	368/368	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
18:36:55	368/368	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regulard41d.html?	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regulard41dd41d.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
18:36:55	312186/312186	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/team/ps-4.jpg	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/team/ps-4.jpg	(from http://iglyphic.com/themes/html/html_safest/)
18:36:56	370/370	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-2.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-2.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
18:36:56	32536/32536	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.ttf	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.ttf	(from http://iglyphic.com/themes/html/html_safest/css/icon/et-line-font.css)
18:36:57	369/369	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-3.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-3.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
18:36:57	55220/55220	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.woff	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/css/fonts/et-line/et-line.woff	(from http://iglyphic.com/themes/html/html_safest/css/icon/et-line-font.css)
18:36:57	368/368	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-4.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-4.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
18:36:58	368/368	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-5.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/fonts/glyphicons-halflings-regular-5.html	(from http://iglyphic.com/themes/html/html_safest/css/bootstrap.min.css)
